TIME_S,TEMP_C,MEAN_C,STDDEV,ZSCORE,FAULT
2.01,24.00,32.00,16.00,0.50,0
2.55,24.00,30.67,14.91,0.45,0
3.10,24.00,29.71,14.00,0.41,0
3.64,24.00,29.00,13.23,0.38,0
4.19,24.00,28.44,12.57,0.35,0
4.73,24.00,28.00,12.00,0.33,0
5.27,24.00,27.64,11.50,0.32,0
5.81,24.00,27.33,11.06,0.30,0
6.36,24.00,27.08,10.66,0.29,0
6.90,24.00,26.86,10.30,0.28,0
7.45,64.00,29.33,13.60,2.55,1
7.99,64.00,31.50,15.61,2.08,1
8.54,64.00,33.41,16.97,1.80,1
9.08,64.00,35.11,17.92,1.61,1
9.62,64.00,36.63,18.59,1.47,0
10.16,64.00,38.00,19.08,1.36,0
10.71,24.00,36.00,18.33,0.65,0
11.26,24.00,36.00,18.33,0.65,0
11.80,24.00,36.00,18.33,0.65,0
12.34,24.00,36.00,18.33,0.65,0
12.89,24.00,36.00,18.33,0.65,0
13.43,24.00,36.00,18.33,0.65,0
13.97,24.00,36.00,18.33,0.65,0
14.51,24.00,36.00,18.33,0.65,0
15.06,24.00,36.00,18.33,0.65,0
15.60,24.00,36.00,18.33,0.65,0
16.15,24.00,36.00,18.33,0.65,0
16.69,24.00,36.00,18.33,0.65,0
17.24,24.00,36.00,18.33,0.65,0
17.78,64.00,38.00,19.08,1.36,0
18.32,64.00,38.00,19.08,1.36,0
18.86,64.00,38.00,19.08,1.36,0
19.41,64.00,38.00,19.08,1.36,0
19.95,64.00,38.00,19.08,1.36,0
20.49,24.00,36.00,18.33,0.65,0
21.03,24.00,34.00,17.32,0.58,0
21.58,24.00,34.00,17.32,0.58,0
22.12,24.00,34.00,17.32,0.58,0
22.67,24.00,34.00,17.32,0.58,0
23.21,24.00,34.00,17.32,0.58,0
23.76,24.00,34.00,17.32,0.58,0
24.30,24.00,34.00,17.32,0.58,0
24.84,24.00,34.00,17.32,0.58,0
25.38,24.00,34.00,17.32,0.58,0
25.93,24.00,34.00,17.32,0.58,0
26.47,24.00,34.00,17.32,0.58,0
27.01,24.00,34.00,17.32,0.58,0
27.56,64.00,36.00,18.33,1.53,1
28.11,64.00,38.00,19.08,1.36,0
28.65,64.00,38.00,19.08,1.36,0
29.19,64.00,38.00,19.08,1.36,0
29.73,64.00,38.00,19.08,1.36,0
30.28,64.00,38.00,19.08,1.36,0
30.82,24.00,36.00,18.33,0.65,0
31.36,24.00,36.00,18.33,0.65,0
31.91,24.00,36.00,18.33,0.65,0
32.45,24.00,36.00,18.33,0.65,0
33.00,24.00,36.00,18.33,0.65,0
33.54,24.00,36.00,18.33,0.65,0
34.08,24.00,36.00,18.33,0.65,0
34.63,24.00,36.00,18.33,0.65,0
35.17,24.00,36.00,18.33,0.65,0
35.71,24.00,36.00,18.33,0.65,0
36.25,24.00,36.00,18.33,0.65,0
36.80,24.00,36.00,18.33,0.65,0
37.34,24.00,36.00,18.33,0.65,0
37.89,64.00,38.00,19.08,1.36,0
38.43,64.00,38.00,19.08,1.36,0
38.98,64.00,38.00,19.08,1.36,0
39.52,64.00,38.00,19.08,1.36,0
40.06,64.00,38.00,19.08,1.36,0
40.60,24.00,36.00,18.33,0.65,0
41.15,24.00,34.00,17.32,0.58,0
41.69,24.00,34.00,17.32,0.58,0
42.23,24.00,34.00,17.32,0.58,0
42.78,24.00,34.00,17.32,0.58,0
43.32,24.00,34.00,17.32,0.58,0
43.87,24.00,34.00,17.32,0.58,0
44.41,24.00,34.00,17.32,0.58,0
44.95,24.00,34.00,17.32,0.58,0
45.50,24.00,34.00,17.32,0.58,0
